Client_ID,Name,Age,Gender,City,Zone,Fashion_Wallet,Tier,LTV_Potential,Purchase_Motivation,Preferred_Channel,Return_Risk_Prob,Social_Influence_Score,Price_Sensitivity,Preferred_Hardware,Preferred_Material,Preferred_Size,Brand_Affinity,Sociological_Profile,Email,Current_Budget,Purchases_Count
CL-839725,Paola Luz Acosta,33,F,Marbella,Puerto Banús,4288,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,88,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Hublot | Dolce & Gabbana,Global_Jetset,paola.luz@gmail.com,4288,0
CL-691120,Elisa Caro Acevedo,51,F,Palma,Son Vida,33840,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,33,Baja (Precio Completo),Oro,Metálico,Mini,Dolce & Gabbana | Hublot,Global_Jetset,elisa.caro@gmail.com,33840,0
CL-382639,Eufemia Arana Salinas,53,F,Marbella,Puerto Banús,5690,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,34,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Dolce & Gabbana | Fendi,Global_Jetset,eufemia.arana@gmail.com,23,0
CL-658419,Piedad Garrido Espada,52,F,Palma,Son Vida,7382,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,61,Baja (Precio Completo),Oro,Metálico,Mini,Hublot | Fendi,Global_Jetset,piedad.garrido@gmail.com,563,0
CL-982327,Ale Rojas Torrecilla,33,F,Oviedo,Uría,4399,Estándar (Ocasional),Bajo,Acceso al Lujo (Entry),E-Commerce,0.15,44,Alta (Cazador de Ofertas),Oro,Canvas,Small/Medium,Louis Vuitton,Old_Money_Conservative,ale.rojas@gmail.com,535,0
CL-553499,Isaías Cañas Acedo,32,M,Palma,Son Vida,100204,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,83,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Dolce & Gabbana | Versace,Global_Jetset,isaías.cañas@gmail.com,100204,0
CL-854271,Laura Llopis Casanova,40,F,Getafe,El Bercial,79752,Estándar (Ocasional),Bajo,Acceso al Lujo (Entry),E-Commerce,0.15,28,Alta (Cazador de Ofertas),Paladio (PHW),Canvas,Small/Medium,Longchamp | Louis Vuitton (Speedy),Middle_Class,laura.llopis@gmail.com,42567,0
CL-428632,Ester Ayllón Pina,50,F,Alcobendas,La Moraleja,6133,VIP Platinum (Alto Valor),Alto,Acceso al Lujo (Entry),Busca Chollos,0.15,41,Baja (Precio Completo),Oro,Canvas,Small/Medium,Chanel | Cartier,Elite,ester.ayllón@gmail.com,1348,0
CL-706511,Carmela Villa Salvador,46,F,Marbella,Puerto Banús,152384,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,48,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Dolce & Gabbana | Fendi,Global_Jetset,carmela.villa@gmail.com,111146,0
CL-340903,Rosaura Llano Gaya,54,F,Marbella,Puerto Banús,5613,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,37,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Dolce & Gabbana | Fendi,Global_Jetset,rosaura.llano@gmail.com,2282,0
CL-700199,Marita Carreras Mayoral,38,F,Palma,Son Vida,26874,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,88,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Hublot | Versace,Global_Jetset,marita.carreras@gmail.com,26874,0
CL-399804,Hilda Tormo León,26,F,Madrid,Chamberí,5029,Gold (Recurrente),Medio,Recompensa / Éxito,Instagram Shop,0.15,37,Media (Busca Valor),Paladio (PHW),Grained Calf,Small/Medium,Jacquemus | Gucci,Young_High_Pro,hilda.tormo@gmail.com,30,0
CL-561801,Paca Vega Múgica,65,F,Barcelona,Sarrià,3849,Gold (Recurrente),Medio,Calidad y Atemporalidad,Teléfono Privado,0.05,38,Baja (Precio Completo),Oro,Canvas,Small/Medium,Louis Vuitton,Bourgeoisie,paca.vega@gmail.com,259,0
CL-112208,Natanael Duarte Barón,52,M,Palma,Son Vida,17791,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,36,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Versace | Dolce & Gabbana,Global_Jetset,natanael.duarte@gmail.com,17791,0
CL-974530,Angelita Franch López,58,F,Alcobendas,La Moraleja,22142,VIC (Top 1%),Muy Alto,Acceso al Lujo (Entry),E-Commerce,0.15,17,Baja (Precio Completo),Oro,Grained Calf,Small/Medium,Cartier | Chanel,Elite,angelita.franch@gmail.com,2374,0
CL-193387,Marcela Higueras Chacón,39,F,Palma,Son Vida,19317,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,73,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Dolce & Gabbana | Hublot,Global_Jetset,marcela.higueras@gmail.com,19317,0
CL-578981,Ainoa Garay Cañete,53,F,Palma,Son Vida,30988,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,46,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Hublot | Dolce & Gabbana,Global_Jetset,ainoa.garay@gmail.com,30988,0
CL-535568,Loreto Aller Peña,38,M,Altea,Altea Hills,7864,Gold (Recurrente),Medio,Acceso al Lujo (Entry),Busca Chollos,0.15,17,Baja (Precio Completo),Paladio (PHW),Grained Calf,Small/Medium,Louis Vuitton,Expat_Wealth,loreto.aller@gmail.com,309,0
CL-819497,Macaria Sotelo Castejón,47,F,Palma,Son Vida,18929,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,68,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Fendi | Dolce & Gabbana,Global_Jetset,macaria.sotelo@gmail.com,13654,0
CL-976805,Javiera Castellanos Serrano,33,F,Marbella,Puerto Banús,8156,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,96,Baja (Precio Completo),Oro,Metálico,Mini,Dolce & Gabbana | Versace,Global_Jetset,javiera.castellanos@gmail.com,8156,0
CL-622438,Febe Garrido Gonzalez,45,F,Valencia,Pla del Remei,19955,Gold (Recurrente),Medio,Acceso al Lujo (Entry),Busca Chollos,0.15,49,Baja (Precio Completo),Oro,Canvas,Small/Medium,Louis Vuitton,Urban_Sophisticated,febe.garrido@gmail.com,1885,0
CL-901039,Marcela Fernández Iglesia,51,F,Palma,Son Vida,7419,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,40,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Fendi | Dolce & Gabbana,Global_Jetset,marcela.fernández@gmail.com,791,0
CL-508679,Blanca Benet Salas,57,F,Palma,Son Vida,7561,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,44,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Versace | Fendi,Global_Jetset,blanca.benet@gmail.com,1230,0
CL-767110,Pascuala Falcó Aragón,50,F,Alcobendas,La Moraleja,29213,VIP Platinum (Alto Valor),Alto,Acceso al Lujo (Entry),Busca Chollos,0.15,23,Baja (Precio Completo),Paladio (PHW),Canvas,Small/Medium,Hermès | Chanel,Elite,pascuala.falcó@gmail.com,1170,0
CL-666225,Florina Santana Abascal,62,F,Alcobendas,La Moraleja,31810,VIP Platinum (Alto Valor),Alto,Acceso al Lujo (Entry),E-Commerce,0.15,15,Baja (Precio Completo),Oro,Grained Calf,Small/Medium,Hermès | Chanel,Elite,florina.santana@gmail.com,15,0
CL-349434,Magdalena Solana Guardia,56,F,Marbella,Puerto Banús,32630,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,51,Baja (Precio Completo),Oro,Metálico,Mini,Versace | Hublot,Global_Jetset,magdalena.solana@gmail.com,32630,0
CL-758739,Fabián Vives Pino,55,M,Alcobendas,La Moraleja,8787,VIC (Top 1%),Muy Alto,Acceso al Lujo (Entry),Busca Chollos,0.15,29,Baja (Precio Completo),Oro,Grained Calf,Small/Medium,Cartier | Hermès,Elite,fabián.vives@gmail.com,2277,0
CL-340746,Esperanza Plana Palau,46,F,Palma,Son Vida,7870,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,67,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Hublot | Fendi,Global_Jetset,esperanza.plana@gmail.com,815,0
CL-300566,Josefa Portillo Gonzalo,59,F,Palma,Son Vida,29643,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,45,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Versace | Fendi,Global_Jetset,josefa.portillo@gmail.com,3333,0
CL-907904,Marisol Salom Mir,47,F,Ourense,Centro,3994,Estándar (Ocasional),Bajo,Acceso al Lujo (Entry),E-Commerce,0.15,19,Alta (Cazador de Ofertas),Paladio (PHW),Grained Calf,Small/Medium,Louis Vuitton,Old_Money_Conservative,marisol.salom@gmail.com,860,0
CL-206903,Leandra Perelló Somoza,36,F,Palma,Son Vida,6023,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,97,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Fendi | Hublot,Global_Jetset,leandra.perelló@gmail.com,6023,0
CL-327235,Lara Morales Bermudez,58,F,Marbella,Puerto Banús,136920,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,62,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Versace | Hublot,Global_Jetset,lara.morales@gmail.com,136920,0
CL-637397,Nacho Ramos Novoa,33,M,Alcorcón,Las Retamas,8431,Gold (Recurrente),Medio,Acceso al Lujo (Entry),Busca Chollos,0.15,23,Alta (Cazador de Ofertas),Oro (Flashy),Coated Canvas,Small,YSL | Louis Vuitton (Monogram),Aspirational,nacho.ramos@gmail.com,1403,0
CL-276310,Marcela Boada Lasa,52,F,Marbella,Puerto Banús,4427,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,65,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Dolce & Gabbana | Fendi,Global_Jetset,marcela.boada@gmail.com,1609,0
CL-529842,Melania Torrijos Márquez,46,F,Marbella,Puerto Banús,4713,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,57,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Hublot | Versace,Global_Jetset,melania.torrijos@gmail.com,4713,0
CL-541022,Alexandra Olivares Bárcena,45,F,Marbella,Puerto Banús,6493,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,63,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Dolce & Gabbana | Hublot,Global_Jetset,alexandra.olivares@gmail.com,6493,0
CL-911874,Dulce Marin Sacristán,48,F,Marbella,Puerto Banús,5102,Gold (Recurrente),Medio,Exclusividad / Visibilidad,Personal Shopper,0.05,34,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Dolce & Gabbana | Hublot,Global_Jetset,dulce.marin@gmail.com,5102,0
CL-614662,Clotilde Monreal Pavón,59,F,Marbella,Puerto Banús,7089,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,59,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Hublot | Versace,Global_Jetset,clotilde.monreal@gmail.com,7089,0
CL-445363,Jimena Reig Murillo,36,F,Palma,Son Vida,187640,Gold (Recurrente),Medio,Exclusividad / Visibilidad,WhatsApp VIP,0.05,36,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Versace | Fendi,Global_Jetset,jimena.reig@gmail.com,185375,0
CL-291740,Eleuterio Lorenzo Álvarez,27,M,Oleiros,Icaria (Inditex),36407,Gold (Recurrente),Medio,Tendencia y Estatus,WhatsApp Business,0.25,30,Media (Busca Valor),So Black,Epsom,Large/Tote,Miu Miu | Prada,Fashion_Exec,eleuterio.lorenzo@gmail.com,15639,0
CL-129946,María Carmen Uriarte Carretero,66,F,Alcobendas,La Moraleja,172419,VIC (Top 1%),Muy Alto,Acceso al Lujo (Entry),E-Commerce,0.15,18,Baja (Precio Completo),Oro,Grained Calf,Small/Medium,Cartier | Chanel,Elite,maría carmen.uriarte@gmail.com,17379,0
CL-135959,Seve Barros Solera,34,M,Oleiros,Icaria (Inditex),31830,Gold (Recurrente),Medio,Tendencia y Estatus,E-Commerce,0.25,14,Media (Busca Valor),So Black,Epsom,Large/Tote,Prada | Saint Laurent,Fashion_Exec,seve.barros@gmail.com,4959,0
CL-374175,Celestina Salas Iñiguez,50,F,Marbella,Puerto Banús,27367,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,40,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Versace | Fendi,Global_Jetset,celestina.salas@gmail.com,1258,0
CL-943820,Diana Crespo Pino,51,F,Marbella,Puerto Banús,5168,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,68,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Fendi | Dolce & Gabbana,Global_Jetset,diana.crespo@gmail.com,689,0
CL-915451,Darío Pardo Vargas,52,M,Murcia,Catedral,4826,Gold (Recurrente),Medio,Acceso al Lujo (Entry),Busca Chollos,0.15,15,Baja (Precio Completo),Oro,Canvas,Small/Medium,Louis Vuitton,Agro_Wealth,darío.pardo@gmail.com,1238,0
CL-557883,Odalys Millán Comas,39,F,Oleiros,Icaria (Inditex),6620,VIP Platinum (Alto Valor),Alto,Tendencia y Estatus,E-Commerce,0.25,76,Media (Busca Valor),Paladio (PHW),Piel Brillante,Large/Tote,Prada | Balenciaga,Fashion_Exec,odalys.millán@gmail.com,2306,0
CL-965911,Graciana Ayuso Barriga,54,F,Marbella,Puerto Banús,152070,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,35,Baja (Precio Completo),Oro,Metálico,Mini,Versace | Fendi,Global_Jetset,graciana.ayuso@gmail.com,145251,0
CL-427031,Selena Pons Saavedra,31,F,Alcorcón,Las Retamas,5057,Gold (Recurrente),Medio,Acceso al Lujo (Entry),Busca Chollos,0.15,15,Alta (Cazador de Ofertas),Oro (Flashy),Coated Canvas,Small,Gucci | Louis Vuitton (Monogram),Aspirational,selena.pons@gmail.com,492,0
CL-432150,Amaya Carbó Parejo,31,F,Marbella,Puerto Banús,6653,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,90,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Hublot | Versace,Global_Jetset,amaya.carbó@gmail.com,6653,0
CL-978780,Prudencia Bautista Benito,59,F,Palma,Son Vida,18688,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,57,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Dolce & Gabbana | Fendi,Global_Jetset,prudencia.bautista@gmail.com,18688,0
CL-936909,Aura Casals Saavedra,48,F,Oviedo,Uría,7652,Gold (Recurrente),Medio,Acceso al Lujo (Entry),Busca Chollos,0.15,25,Baja (Precio Completo),Oro,Canvas,Small/Medium,Louis Vuitton,Old_Money_Conservative,aura.casals@gmail.com,1118,0
CL-835992,Eli Barragán Morales,32,F,Madrid,Chamberí,4648,Gold (Recurrente),Medio,Recompensa / Éxito,Instagram Shop,0.15,41,Media (Busca Valor),Paladio (PHW),Canvas,Small/Medium,Celine | Jacquemus,Young_High_Pro,eli.barragán@gmail.com,669,0
CL-902975,Marianela Álvaro Álamo,57,F,Palma,Son Vida,156338,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,35,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Versace | Fendi,Global_Jetset,marianela.álvaro@gmail.com,136184,0
CL-170318,Ángeles Sales Gilabert,32,F,Alcorcón,Las Retamas,24525,Gold (Recurrente),Medio,Acceso al Lujo (Entry),E-Commerce,0.15,43,Alta (Cazador de Ofertas),Oro (Flashy),Coated Canvas,Small,Louis Vuitton (Monogram) | YSL,Aspirational,ángeles.sales@gmail.com,678,0
CL-770158,Gastón Criado Cabezas,42,M,Oviedo,Uría,6831,Gold (Recurrente),Medio,Acceso al Lujo (Entry),E-Commerce,0.15,42,Baja (Precio Completo),Oro,Grained Calf,Small/Medium,Louis Vuitton,Old_Money_Conservative,gastón.criado@gmail.com,184,0
CL-631198,Custodia Hurtado Villar,67,F,Madrid,Salamanca,26400,Gold (Recurrente),Medio,Inversión / Coleccionismo,Boutique Privada,0.05,45,Baja (Precio Completo),Oro Rosa,Box Leather,Mini/Small,Dior | Hermès,Aristocracy,custodia.hurtado@gmail.com,795,0
